[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train Fold3/train.txt -test Fold3/test.txt -validate Fold3/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart3.txt

[+] General Parameters:
Training data:  Fold3/train.txt
Test data:      Fold3/test.txt
Validation data:        Fold3/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart3.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold3/train.txt]... [Done.]
(6000 ranked lists, 719111 entries read)
Reading feature file [Fold3/vali.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Reading feature file [Fold3/test.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
150     | 0.4381    | 0.4293    |
151     | 0.438     | 0.4291    |
152     | 0.4383    | 0.4295    |
153     | 0.4383    | 0.4294    |
154     | 0.4384    | 0.4295    |
155     | 0.4384    | 0.4299    |
156     | 0.4384    | 0.43      |
157     | 0.4385    | 0.4297    |
158     | 0.4383    | 0.4296    |
159     | 0.4384    | 0.4298    |
160     | 0.4387    | 0.4302    |
161     | 0.4387    | 0.43      |
162     | 0.439     | 0.4304    |
163     | 0.439     | 0.4305    |
164     | 0.4391    | 0.4304    |
165     | 0.4393    | 0.4306    |
166     | 0.4393    | 0.4308    |
167     | 0.4395    | 0.431     |
168     | 0.4398    | 0.4313    |
169     | 0.4398    | 0.4313    |
170     | 0.44      | 0.4313    |
171     | 0.44      | 0.4315    |
172     | 0.4399    | 0.4314    |
173     | 0.44      | 0.4315    |
174     | 0.4401    | 0.4314    |
175     | 0.4401    | 0.4314    |
176     | 0.4401    | 0.4315    |
177     | 0.4401    | 0.4313    |
178     | 0.4401    | 0.4315    |
179     | 0.4404    | 0.4316    |
180     | 0.4407    | 0.4319    |
181     | 0.4409    | 0.4321    |
182     | 0.4407    | 0.4319    |
183     | 0.4407    | 0.4319    |
184     | 0.4407    | 0.4321    |
185     | 0.4407    | 0.4322    |
186     | 0.4408    | 0.4322    |
187     | 0.4408    | 0.4325    |
188     | 0.4409    | 0.4324    |
189     | 0.4411    | 0.4325    |
190     | 0.4411    | 0.4324    |
191     | 0.4412    | 0.4324    |
192     | 0.4412    | 0.4323    |
193     | 0.4413    | 0.4322    |
194     | 0.4413    | 0.4324    |
195     | 0.4415    | 0.4328    |
196     | 0.4414    | 0.4326    |
197     | 0.4414    | 0.4325    |
198     | 0.4414    | 0.4327    |
199     | 0.4415    | 0.4326    |
200     | 0.4417    | 0.4326    |
201     | 0.4415    | 0.4326    |
202     | 0.4417    | 0.4325    |
203     | 0.4418    | 0.4325    |
204     | 0.4422    | 0.4327    |
205     | 0.442     | 0.4321    |
206     | 0.4419    | 0.4323    |
207     | 0.4418    | 0.4323    |
208     | 0.442     | 0.4324    |
209     | 0.4422    | 0.432     |
210     | 0.4423    | 0.4321    |
211     | 0.4424    | 0.4322    |
212     | 0.4425    | 0.4321    |
213     | 0.4425    | 0.4325    |
214     | 0.4427    | 0.4322    |
215     | 0.4426    | 0.4323    |
216     | 0.4427    | 0.4323    |
217     | 0.4427    | 0.4322    |
218     | 0.4426    | 0.4326    |
219     | 0.4431    | 0.4328    |
220     | 0.4433    | 0.4325    |
221     | 0.4434    | 0.4324    |
222     | 0.4434    | 0.4329    |
223     | 0.4435    | 0.4329    |
224     | 0.4434    | 0.4329    |
225     | 0.4434    | 0.4329    |
226     | 0.4435    | 0.4328    |
227     | 0.4436    | 0.4326    |
228     | 0.4435    | 0.4325    |
229     | 0.4437    | 0.4327    |
230     | 0.4437    | 0.4327    |
231     | 0.4437    | 0.4327    |
232     | 0.4437    | 0.4328    |
233     | 0.4437    | 0.4328    |
234     | 0.4436    | 0.4331    |
235     | 0.4436    | 0.433     |
236     | 0.4436    | 0.4329    |
237     | 0.4439    | 0.4328    |
238     | 0.444     | 0.433     |
239     | 0.444     | 0.4332    |
240     | 0.4439    | 0.4332    |
241     | 0.4439    | 0.4334    |
242     | 0.444     | 0.4334    |
243     | 0.4441    | 0.4334    |
244     | 0.4441    | 0.4335    |
245     | 0.4441    | 0.4334    |
246     | 0.4442    | 0.4337    |
247     | 0.4443    | 0.4335    |
248     | 0.4443    | 0.4334    |
249     | 0.4447    | 0.4332    |
250     | 0.4447    | 0.4334    |
251     | 0.4448    | 0.4334    |
252     | 0.4448    | 0.4335    |
253     | 0.445     | 0.4335    |
254     | 0.445     | 0.4337    |
255     | 0.4451    | 0.4341    |
256     | 0.4454    | 0.4339    |
257     | 0.4455    | 0.4343    |
258     | 0.4455    | 0.434     |
259     | 0.4459    | 0.4341    |
260     | 0.4458    | 0.4345    |
261     | 0.446     | 0.4344    |
262     | 0.4461    | 0.4344    |
263     | 0.4459    | 0.4343    |
264     | 0.4459    | 0.4344    |
265     | 0.4459    | 0.4344    |
266     | 0.4461    | 0.4347    |
267     | 0.4461    | 0.4347    |
268     | 0.4461    | 0.4347    |
269     | 0.4461    | 0.4347    |
270     | 0.4461    | 0.4347    |
271     | 0.4462    | 0.4348    |
272     | 0.4461    | 0.4349    |
273     | 0.4465    | 0.4353    |
274     | 0.4467    | 0.4353    |
275     | 0.4467    | 0.4352    |
276     | 0.4468    | 0.4352    |
277     | 0.4467    | 0.4353    |
278     | 0.4467    | 0.4352    |
279     | 0.4467    | 0.4351    |
280     | 0.4468    | 0.4354    |
281     | 0.4468    | 0.4353    |
282     | 0.4468    | 0.4353    |
283     | 0.447     | 0.4352    |
284     | 0.4472    | 0.4355    |
285     | 0.4473    | 0.4356    |
286     | 0.4475    | 0.4356    |
287     | 0.4473    | 0.4355    |
288     | 0.4474    | 0.4355    |
289     | 0.4473    | 0.4353    |
290     | 0.4474    | 0.4353    |
291     | 0.4475    | 0.4353    |
292     | 0.4475    | 0.4353    |
293     | 0.4481    | 0.4351    |
294     | 0.4482    | 0.4352    |
295     | 0.4482    | 0.4353    |
296     | 0.448     | 0.4358    |
