[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
151     | 0.4359    | 0.4386    |
152     | 0.4358    | 0.4387    |
153     | 0.4358    | 0.4384    |
154     | 0.436     | 0.4384    |
155     | 0.436     | 0.4385    |
156     | 0.436     | 0.4385    |
157     | 0.4361    | 0.4384    |
158     | 0.4364    | 0.4383    |
159     | 0.4365    | 0.4385    |
160     | 0.4363    | 0.4382    |
161     | 0.4363    | 0.4386    |
162     | 0.4364    | 0.4389    |
163     | 0.4366    | 0.4389    |
164     | 0.4368    | 0.4393    |
165     | 0.4369    | 0.4394    |
166     | 0.4369    | 0.4395    |
167     | 0.4371    | 0.4397    |
168     | 0.437     | 0.44      |
169     | 0.4369    | 0.44      |
170     | 0.437     | 0.4402    |
171     | 0.437     | 0.4405    |
172     | 0.437     | 0.4408    |
173     | 0.4371    | 0.4406    |
174     | 0.437     | 0.4406    |
175     | 0.437     | 0.4406    |
176     | 0.437     | 0.4405    |
177     | 0.4372    | 0.4408    |
178     | 0.4371    | 0.4409    |
179     | 0.437     | 0.4405    |
180     | 0.4369    | 0.4404    |
181     | 0.4371    | 0.4405    |
182     | 0.4371    | 0.4404    |
183     | 0.4372    | 0.4405    |
184     | 0.4372    | 0.4408    |
185     | 0.4374    | 0.4409    |
186     | 0.4374    | 0.4408    |
187     | 0.4374    | 0.441     |
188     | 0.4375    | 0.4411    |
189     | 0.4377    | 0.4409    |
190     | 0.4376    | 0.4412    |
191     | 0.4376    | 0.4412    |
192     | 0.4376    | 0.4413    |
193     | 0.4377    | 0.4413    |
194     | 0.4377    | 0.441     |
195     | 0.438     | 0.4411    |
196     | 0.4381    | 0.4414    |
197     | 0.4381    | 0.4412    |
198     | 0.438     | 0.4412    |
199     | 0.4382    | 0.4412    |
200     | 0.4381    | 0.4413    |
201     | 0.438     | 0.4411    |
202     | 0.438     | 0.4411    |
203     | 0.438     | 0.4411    |
204     | 0.4385    | 0.4413    |
205     | 0.4386    | 0.4414    |
206     | 0.4386    | 0.4413    |
207     | 0.4387    | 0.4413    |
208     | 0.4387    | 0.4414    |
209     | 0.4389    | 0.4413    |
210     | 0.439     | 0.4415    |
211     | 0.4392    | 0.4416    |
212     | 0.4391    | 0.4415    |
213     | 0.4391    | 0.4413    |
214     | 0.4391    | 0.4412    |
215     | 0.4392    | 0.4414    |
216     | 0.4392    | 0.4416    |
217     | 0.4393    | 0.4416    |
218     | 0.4392    | 0.4418    |
219     | 0.4393    | 0.4418    |
220     | 0.4394    | 0.4421    |
221     | 0.4395    | 0.4424    |
222     | 0.4395    | 0.4424    |
223     | 0.4396    | 0.4424    |
224     | 0.4397    | 0.4425    |
225     | 0.4397    | 0.4425    |
226     | 0.4398    | 0.4427    |
227     | 0.4398    | 0.4428    |
228     | 0.4398    | 0.4428    |
229     | 0.4398    | 0.4429    |
230     | 0.4399    | 0.4426    |
231     | 0.44      | 0.4425    |
232     | 0.4399    | 0.4426    |
233     | 0.4401    | 0.4425    |
234     | 0.44      | 0.4426    |
235     | 0.4399    | 0.4425    |
236     | 0.4401    | 0.4428    |
237     | 0.4399    | 0.4428    |
238     | 0.4402    | 0.4435    |
239     | 0.4403    | 0.4437    |
240     | 0.4403    | 0.4437    |
241     | 0.4403    | 0.444     |
242     | 0.4403    | 0.4441    |
243     | 0.4404    | 0.4441    |
244     | 0.4405    | 0.4442    |
245     | 0.4405    | 0.4441    |
246     | 0.4406    | 0.4442    |
247     | 0.4404    | 0.4439    |
248     | 0.4405    | 0.4439    |
249     | 0.4409    | 0.4437    |
250     | 0.441     | 0.4437    |
251     | 0.4411    | 0.4436    |
252     | 0.4413    | 0.4435    |
253     | 0.4413    | 0.4435    |
254     | 0.4413    | 0.4437    |
255     | 0.4412    | 0.4438    |
256     | 0.4414    | 0.4441    |
257     | 0.4416    | 0.4443    |
258     | 0.4416    | 0.4442    |
259     | 0.4417    | 0.4443    |
260     | 0.4418    | 0.4443    |
261     | 0.442     | 0.4444    |
262     | 0.4422    | 0.4444    |
263     | 0.442     | 0.4445    |
264     | 0.4421    | 0.4446    |
265     | 0.4421    | 0.4445    |
266     | 0.4421    | 0.4446    |
267     | 0.4421    | 0.4448    |
268     | 0.4421    | 0.4444    |
269     | 0.4421    | 0.4444    |
270     | 0.4421    | 0.4443    |
271     | 0.4421    | 0.4444    |
272     | 0.4423    | 0.4444    |
273     | 0.4422    | 0.4444    |
274     | 0.4422    | 0.4442    |
275     | 0.4422    | 0.4444    |
276     | 0.4423    | 0.4443    |
277     | 0.4423    | 0.4444    |
278     | 0.4423    | 0.4444    |
279     | 0.4424    | 0.4446    |
280     | 0.4424    | 0.4446    |
281     | 0.4423    | 0.4448    |
282     | 0.4423    | 0.4447    |
283     | 0.4424    | 0.4447    |
284     | 0.4424    | 0.4447    |
285     | 0.4425    | 0.4447    |
286     | 0.4428    | 0.4446    |
287     | 0.4428    | 0.4445    |
288     | 0.4429    | 0.4445    |
289     | 0.4428    | 0.4446    |
290     | 0.4429    | 0.4443    |
291     | 0.4429    | 0.4442    |
292     | 0.4429    | 0.4444    |
293     | 0.443     | 0.4443    |
294     | 0.4431    | 0.4443    |
295     | 0.443     | 0.4443    |
296     | 0.443     | 0.4443    |
297     | 0.4429    | 0.4441    |
298     | 0.4428    | 0.4443    |
299     | 0.443     | 0.4447    |
300     | 0.443     | 0.4446    |
301     | 0.4431    | 0.4446    |
302     | 0.4433    | 0.4447    |
303     | 0.4432    | 0.4445    |
304     | 0.4434    | 0.4449    |
305     | 0.4434    | 0.4451    |
306     | 0.4433    | 0.4451    |
307     | 0.4434    | 0.4451    |
308     | 0.4434    | 0.445     |
309     | 0.4435    | 0.4451    |
310     | 0.4435    | 0.4451    |
311     | 0.4434    | 0.445     |
312     | 0.4435    | 0.4453    |
313     | 0.4435    | 0.4454    |
314     | 0.4435    | 0.4455    |
315     | 0.4436    | 0.4453    |
316     | 0.4439    | 0.4456    |
317     | 0.4439    | 0.4456    |
318     | 0.4439    | 0.4456    |
319     | 0.4438    | 0.4456    |
320     | 0.4437    | 0.4457    |
321     | 0.4436    | 0.4455    |
322     | 0.4437    | 0.4456    |
323     | 0.4438    | 0.4455    |
324     | 0.4437    | 0.4455    |
325     | 0.4436    | 0.4455    |
326     | 0.4437    | 0.4456    |
327     | 0.4439    | 0.4457    |
328     | 0.444     | 0.4457    |
329     | 0.444     | 0.4457    |
330     | 0.4439    | 0.4455    |
331     | 0.444     | 0.4457    |
332     | 0.444     | 0.4456    |
333     | 0.4441    | 0.4459    |
334     | 0.4443    | 0.4458    |
335     | 0.4443    | 0.4457    |
336     | 0.4443    | 0.4459    |
337     | 0.4443    | 0.4461    |
338     | 0.4442    | 0.4461    |
339     | 0.4442    | 0.4461    |
340     | 0.4446    | 0.4467    |
341     | 0.4445    | 0.4468    |
342     | 0.4446    | 0.447     |
343     | 0.4446    | 0.4468    |
344     | 0.4446    | 0.4468    |
345     | 0.4446    | 0.4469    |
346     | 0.4446    | 0.447     |
347     | 0.4447    | 0.447     |
348     | 0.4447    | 0.4469    |
349     | 0.4448    | 0.4469    |
350     | 0.4448    | 0.447     |
351     | 0.4448    | 0.4471    |
352     | 0.4449    | 0.447     |
353     | 0.4449    | 0.4472    |
354     | 0.4449    | 0.4471    |
355     | 0.445     | 0.4469    |
356     | 0.4449    | 0.4469    |
357     | 0.445     | 0.4469    |
358     | 0.445     | 0.4468    |
359     | 0.445     | 0.4468    |
360     | 0.4451    | 0.4469    |
361     | 0.4452    | 0.447     |
362     | 0.4451    | 0.447     |
363     | 0.4451    | 0.4468    |
364     | 0.4452    | 0.4471    |
365     | 0.4452    | 0.4471    |
366     | 0.4451    | 0.4469    |
367     | 0.4452    | 0.4469    |
368     | 0.445     | 0.447     |
369     | 0.445     | 0.4472    |
370     | 0.4449    | 0.4472    |
371     | 0.4451    | 0.4469    |
372     | 0.4449    | 0.4465    |
373     | 0.4449    | 0.4463    |
374     | 0.4449    | 0.4463    |
