[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train Fold4/train.txt -test Fold4/test.txt -validate Fold4/vali.txt -ranker 0 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-mart4.txt

[+] General Parameters:
Training data:  Fold4/train.txt
Test data:      Fold4/test.txt
Validation data:        Fold4/vali.txt
Feature vector representation: Dense.
Ranking method: MART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-mart4.txt

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold4/train.txt]... [Done.]
(6000 ranked lists, 718768 entries read)
Reading feature file [Fold4/vali.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Reading feature file [Fold4/test.txt]... [Done.]
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
1       | 0.3403    | 0.3411    |
2       | 0.3411    | 0.3427    |
3       | 0.3467    | 0.3485    |
4       | 0.3548    | 0.3551    |
5       | 0.3588    | 0.3575    |
6       | 0.363     | 0.3616    |
7       | 0.3657    | 0.3639    |
8       | 0.3665    | 0.3652    |
9       | 0.3747    | 0.3724    |
10      | 0.3756    | 0.3731    |
11      | 0.379     | 0.3775    |
12      | 0.3795    | 0.3786    |
13      | 0.3826    | 0.3795    |
14      | 0.385     | 0.3829    |
15      | 0.3874    | 0.3848    |
16      | 0.3881    | 0.3847    |
17      | 0.3902    | 0.3871    |
18      | 0.3902    | 0.3881    |
19      | 0.3909    | 0.3887    |
20      | 0.3934    | 0.3907    |
21      | 0.3952    | 0.3932    |
22      | 0.3954    | 0.3934    |
23      | 0.3961    | 0.3939    |
24      | 0.3965    | 0.3944    |
25      | 0.3979    | 0.3949    |
26      | 0.3999    | 0.3973    |
27      | 0.4012    | 0.3982    |
28      | 0.402     | 0.3993    |
29      | 0.4032    | 0.4009    |
30      | 0.4043    | 0.402     |
31      | 0.4046    | 0.4025    |
32      | 0.4059    | 0.4036    |
33      | 0.4066    | 0.4032    |
34      | 0.4069    | 0.4036    |
35      | 0.4074    | 0.4042    |
36      | 0.4085    | 0.4043    |
37      | 0.4085    | 0.4053    |
38      | 0.4098    | 0.4064    |
39      | 0.411     | 0.407     |
40      | 0.4116    | 0.4073    |
41      | 0.4116    | 0.4071    |
42      | 0.4119    | 0.4074    |
43      | 0.4122    | 0.408     |
44      | 0.4127    | 0.4084    |
45      | 0.4131    | 0.409     |
46      | 0.4132    | 0.4095    |
47      | 0.4137    | 0.4099    |
48      | 0.4142    | 0.4106    |
49      | 0.4145    | 0.4113    |
50      | 0.4148    | 0.4112    |
51      | 0.4155    | 0.4116    |
52      | 0.4157    | 0.4122    |
53      | 0.4159    | 0.4125    |
54      | 0.4161    | 0.4123    |
55      | 0.4163    | 0.4129    |
56      | 0.4174    | 0.4137    |
57      | 0.4176    | 0.4135    |
58      | 0.4177    | 0.4136    |
