[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train F                                                                                                                                                             old4/train.txt -test Fold4/test.txt -validate Fold4/vali.txt -ranker 6 -metric2t                                                                                                                                                              NDCG@10 -metric2T NDCG@10 -save mymodel-lm4.txt

[+] General Parameters:
Training data:  Fold4/train.txt
Test data:      Fold4/test.txt
Validation data:        Fold4/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-lm4.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold4/train.txt]... [Done.]
(6000 ranked lists, 718768 entries read)
Reading feature file [Fold4/vali.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Reading feature file [Fold4/test.txt]... [Done.]
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
1       | 0.3389    | 0.3433    |
2       | 0.357     | 0.3594    |
3       | 0.3575    | 0.3606    |
4       | 0.3575    | 0.3606    |
5       | 0.3576    | 0.3606    |
6       | 0.3582    | 0.3618    |
7       | 0.359     | 0.3626    |
8       | 0.3647    | 0.3687    |
9       | 0.3697    | 0.3731    |
10      | 0.3711    | 0.3744    |
11      | 0.3712    | 0.3743    |
12      | 0.3756    | 0.3784    |
13      | 0.3768    | 0.3794    |
14      | 0.3772    | 0.3796    |
15      | 0.3843    | 0.3867    |
16      | 0.386     | 0.3887    |
17      | 0.3869    | 0.389     |
18      | 0.3885    | 0.391     |
19      | 0.3898    | 0.3916    |
20      | 0.3921    | 0.3943    |
21      | 0.3932    | 0.3963    |
22      | 0.3941    | 0.3963    |
23      | 0.3952    | 0.3973    |
24      | 0.3961    | 0.3976    |
25      | 0.397     | 0.3977    |
26      | 0.3979    | 0.3978    |
27      | 0.3992    | 0.3979    |
28      | 0.4006    | 0.3993    |
29      | 0.4008    | 0.4001    |
30      | 0.401     | 0.4004    |
31      | 0.4026    | 0.4016    |
32      | 0.4035    | 0.4019    |
33      | 0.4041    | 0.4032    |
34      | 0.4056    | 0.4035    |
35      | 0.4062    | 0.4043    |
36      | 0.407     | 0.4052    |
37      | 0.4072    | 0.4053    |
38      | 0.4083    | 0.4054    |
39      | 0.4086    | 0.4059    |
40      | 0.4096    | 0.4076    |
41      | 0.4105    | 0.408     |
42      | 0.4112    | 0.4086    |
43      | 0.4122    | 0.409     |
44      | 0.4124    | 0.4098    |
45      | 0.413     | 0.41      |
46      | 0.414     | 0.4109    |
47      | 0.4143    | 0.4112    |
48      | 0.4147    | 0.4112    |
49      | 0.4151    | 0.411     |
50      | 0.4158    | 0.4121    |
51      | 0.4162    | 0.4125    |
52      | 0.4164    | 0.4134    |
53      | 0.4168    | 0.4137    |
54      | 0.4174    | 0.4138    |
55      | 0.4177    | 0.4142    |
56      | 0.4183    | 0.4143    |
57      | 0.419     | 0.4153    |
58      | 0.42      | 0.4149    |
59      | 0.4204    | 0.4154    |
60      | 0.4209    | 0.4157    |
61      | 0.4214    | 0.4161    |
62      | 0.4218    | 0.4166    |
63      | 0.4223    | 0.4172    |
64      | 0.423     | 0.4182    |
65      | 0.4236    | 0.4189    |
66      | 0.424     | 0.419     |
67      | 0.4244    | 0.4199    |
68      | 0.4249    | 0.4193    |
69      | 0.4253    | 0.4197    |
