[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar  -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel_new_lm.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel_new_lm.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
150     | 0.4425    | 0.4422    |
151     | 0.4425    | 0.4424    |
152     | 0.4428    | 0.4424    |
153     | 0.4429    | 0.4425    |
154     | 0.443     | 0.4426    |
155     | 0.4431    | 0.4427    |
156     | 0.4433    | 0.4426    |
157     | 0.4435    | 0.443     |
158     | 0.4437    | 0.4433    |
159     | 0.4437    | 0.4433    |
160     | 0.4438    | 0.4436    |
161     | 0.4441    | 0.4435    |
162     | 0.4441    | 0.4434    |
163     | 0.4443    | 0.4435    |
164     | 0.4442    | 0.444     |
165     | 0.4444    | 0.4441    |
166     | 0.4444    | 0.444     |
167     | 0.4447    | 0.4436    |
168     | 0.4448    | 0.444     |
169     | 0.4449    | 0.4438    |
170     | 0.445     | 0.4439    |
171     | 0.4449    | 0.4442    |
172     | 0.4449    | 0.4443    |
173     | 0.445     | 0.4447    |
174     | 0.4451    | 0.4446    |
175     | 0.4453    | 0.4446    |
176     | 0.4452    | 0.4452    |
177     | 0.4453    | 0.4451    |
178     | 0.4453    | 0.4449    |
179     | 0.4452    | 0.4449    |
180     | 0.4452    | 0.445     |
181     | 0.4454    | 0.445     |
182     | 0.4455    | 0.4452    |
183     | 0.4454    | 0.4455    |
184     | 0.4456    | 0.4452    |
185     | 0.4458    | 0.4453    |
186     | 0.4458    | 0.4455    |
187     | 0.4459    | 0.4458    |
188     | 0.4461    | 0.4458    |
189     | 0.4462    | 0.446     |
190     | 0.4462    | 0.4461    |
191     | 0.4465    | 0.446     |
192     | 0.4466    | 0.4459    |
193     | 0.4465    | 0.4458    |
194     | 0.4465    | 0.4459    |
195     | 0.4465    | 0.4459    |
196     | 0.4466    | 0.4459    |
197     | 0.4467    | 0.4459    |
198     | 0.4468    | 0.4456    |
199     | 0.4468    | 0.446     |
200     | 0.4467    | 0.4462    |
201     | 0.4466    | 0.4461    |
202     | 0.4467    | 0.4462    |
203     | 0.4468    | 0.4465    |
204     | 0.4469    | 0.4464    |
205     | 0.4469    | 0.4467    |
206     | 0.4469    | 0.4467    |
207     | 0.447     | 0.4466    |
208     | 0.4471    | 0.4468    |
209     | 0.4472    | 0.4467    |
210     | 0.4472    | 0.4468    |
211     | 0.4471    | 0.4468    |
212     | 0.4472    | 0.4469    |
213     | 0.4471    | 0.4467    |
214     | 0.4473    | 0.4469    |
215     | 0.4473    | 0.4467    |
216     | 0.4473    | 0.4466    |
217     | 0.4476    | 0.4468    |
218     | 0.4476    | 0.4468    |
219     | 0.4476    | 0.4467    |
220     | 0.4476    | 0.4467    |
221     | 0.4478    | 0.4468    |
222     | 0.4477    | 0.447     |
223     | 0.4479    | 0.4473    |
224     | 0.4481    | 0.4476    |
225     | 0.4482    | 0.4477    |
226     | 0.4481    | 0.4475    |
227     | 0.4482    | 0.4477    |
228     | 0.4483    | 0.4482    |
229     | 0.4484    | 0.448     |
230     | 0.4485    | 0.4481    |
231     | 0.4486    | 0.448     |
232     | 0.4488    | 0.4479    |
233     | 0.4489    | 0.448     |
