[harshitha@csil RankLib]$ java -Xmx5555m  -jar RankLib-2.1-patched.jar  -train Fold3/train.txt -test Fold3/test.txt -validate Fold3/vali.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-rankboost3.txt

[+] General Parameters:
Training data:  Fold3/train.txt
Test data:      Fold3/test.txt
Validation data:        Fold3/vali.txt
Feature vector representation: Dense.
Ranking method: RankBoost
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-rankboost3.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [Fold3/train.txt]... [Done.]
(6000 ranked lists, 719111 entries read)
Reading feature file [Fold3/vali.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Reading feature file [Fold3/test.txt]... [Done.]
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V |
--------------------------------------------------------------------
76      | 48       | 0.475     | 0.0052    | 0.3404    | 0.325     |
77      | 107      | 14.7495   | 0.0052    | 0.3401    | 0.325     |
78      | 116      | -18.5667  | 0.005     | 0.34      | 0.3249    |
79      | 130      | 58991.5   | 0.0049    | 0.3407    | 0.3253    |
80      | 2        | 1.8       | 0.0048    | 0.3407    | 0.3255    |
81      | 115      | -19.225   | 0.0047    | 0.3407    | 0.3256    |
82      | 3        | 2.7       | 0.0046    | 0.3407    | 0.3254    |
83      | 129      | 16.6      | 0.0046    | 0.3408    | 0.3253    |
84      | 132      | 26.3      | 0.0045    | 0.3406    | 0.3252    |
85      | 107      | 14.7495   | 0.0044    | 0.3403    | 0.3252    |
86      | 115      | -19.225   | 0.0043    | 0.3404    | 0.3253    |
87      | 60       | 0.0801    | 0.0042    | 0.34      | 0.3256    |
88      | 116      | -18.5667  | 0.0041    | 0.34      | 0.3256    |
89      | 130      | 58991.5   | 0.0041    | 0.3405    | 0.3258    |
90      | 3        | 2.7       | 0.004     | 0.3405    | 0.3257    |
91      | 7        | 0.8       | 0.004     | 0.3401    | 0.3255    |
92      | 129      | 16.6      | 0.0038    | 0.34      | 0.3253    |
93      | 115      | -19.225   | 0.0038    | 0.34      | 0.3254    |
94      | 64       | 0.1235    | 0.0037    | 0.3403    | 0.3252    |
95      | 107      | 14.7495   | 0.0036    | 0.3402    | 0.3255    |
96      | 3        | 2.7       | 0.0036    | 0.3402    | 0.3254    |
97      | 130      | 19730.5   | 0.0036    | 0.3405    | 0.3253    |
98      | 131      | 52428.2   | 0.0035    | 0.3398    | 0.3255    |
99      | 116      | -18.5667  | 0.0035    | 0.3397    | 0.3255    |
100     | 132      | 26.3      | 0.0034    | 0.3394    | 0.3254    |
101     | 108      | 28.4579   | 0.0034    | 0.3393    | 0.3256    |
102     | 115      | -19.225   | 0.0034    | 0.3395    | 0.3256    |
103     | 129      | 33.2      | 0.0034    | 0.3392    | 0.3256    |
104     | 125      | -35.1055  | 0.0034    | 0.3392    | 0.3257    |
105     | 125      | -35.1055  | 0.0033    | 0.3393    | 0.3258    |
106     | 125      | -35.1055  | 0.0033    | 0.3394    | 0.3259    |
107     | 108      | 28.4579   | 0.0033    | 0.3395    | 0.3262    |
108     | 125      | -35.1055  | 0.0033    | 0.3395    | 0.3262    |
109     | 125      | -35.1055  | 0.0032    | 0.3396    | 0.3262    |
110     | 129      | 33.2      | 0.0032    | 0.3396    | 0.3262    |
111     | 2        | 1.8       | 0.0032    | 0.3395    | 0.3263    |
112     | 125      | -35.1055  | 0.0032    | 0.3395    | 0.3264    |
113     | 125      | -35.1055  | 0.0032    | 0.3395    | 0.3264    |
114     | 125      | -35.1055  | 0.0031    | 0.3396    | 0.3264    |
115     | 108      | 28.4579   | 0.0031    | 0.3396    | 0.3265    |
116     | 125      | -35.1055  | 0.0031    | 0.3398    | 0.3266    |
117     | 129      | 33.2      | 0.0031    | 0.3397    | 0.3266    |
118     | 125      | -35.1055  | 0.0031    | 0.3398    | 0.3269    |
119     | 60       | 0.0801    | 0.0031    | 0.3396    | 0.327     |
120     | 125      | -35.1055  | 0.003     | 0.3396    | 0.327     |
121     | 115      | -19.225   | 0.003     | 0.3396    | 0.327     |
122     | 125      | -35.1055  | 0.003     | 0.3397    | 0.3272    |
123     | 108      | 28.4579   | 0.003     | 0.3398    | 0.3272    |
124     | 125      | -35.1055  | 0.003     | 0.3398    | 0.3272    |
125     | 107      | 14.7495   | 0.003     | 0.3398    | 0.3272    |
126     | 130      | 58991.5   | 0.003     | 0.34      | 0.3275    |
127     | 125      | -35.1055  | 0.003     | 0.3401    | 0.3276    |
128     | 129      | 33.2      | 0.0029    | 0.34      | 0.3276    |
129     | 116      | -18.5667  | 0.0029    | 0.34      | 0.3277    |
130     | 125      | -35.1055  | 0.0029    | 0.3401    | 0.3277    |
131     | 64       | 0.2471    | 0.0029    | 0.3402    | 0.328     |
132     | 125      | -35.1055  | 0.0029    | 0.3403    | 0.3281    |
133     | 125      | -35.1055  | 0.0029    | 0.3404    | 0.3281    |
134     | 108      | 28.4579   | 0.0029    | 0.3405    | 0.328     |
135     | 125      | -35.1055  | 0.0028    | 0.3405    | 0.328     |
136     | 129      | 33.2      | 0.0028    | 0.3405    | 0.3279    |
137     | 125      | -35.1055  | 0.0028    | 0.3405    | 0.328     |
138     | 64       | 0.2471    | 0.0028    | 0.3406    | 0.3284    |
139     | 125      | -35.1055  | 0.0028    | 0.3407    | 0.3285    |
140     | 125      | -35.1055  | 0.0028    | 0.3407    | 0.3285    |
141     | 109      | 14.0338   | 0.0027    | 0.3408    | 0.3284    |
142     | 125      | -35.1055  | 0.0027    | 0.3409    | 0.3284    |
143     | 108      | 28.4579   | 0.0027    | 0.3408    | 0.3285    |
144     | 125      | -35.1055  | 0.0027    | 0.3409    | 0.3285    |
145     | 129      | 33.2      | 0.0027    | 0.3409    | 0.3286    |
146     | 125      | -35.1055  | 0.0027    | 0.3409    | 0.3286    |
147     | 3        | 2.7       | 0.0026    | 0.3409    | 0.3286    |
148     | 64       | 0.2471    | 0.0026    | 0.341     | 0.3289    |
149     | 125      | -35.1055  | 0.0026    | 0.3411    | 0.3288    |
150     | 125      | -35.1055  | 0.0026    | 0.341     | 0.3288    |
151     | 130      | 6643.5    | 0.0026    | 0.3416    | 0.3288    |
152     | 107      | 14.7495   | 0.0026    | 0.3416    | 0.3288    |
153     | 125      | -35.1055  | 0.0026    | 0.3415    | 0.3289    |
154     | 108      | 28.4579   | 0.0026    | 0.3415    | 0.329     |
155     | 125      | -35.1055  | 0.0026    | 0.3416    | 0.329     |
156     | 116      | -18.5667  | 0.0026    | 0.3416    | 0.3291    |
157     | 129      | 33.2      | 0.0025    | 0.3415    | 0.3289    |
158     | 125      | -35.1055  | 0.0025    | 0.3415    | 0.3289    |
159     | 64       | 0.2471    | 0.0025    | 0.3417    | 0.3292    |
160     | 125      | -35.1055  | 0.0025    | 0.3417    | 0.3292    |
161     | 125      | -35.1055  | 0.0025    | 0.3418    | 0.3292    |
162     | 132      | 26.3      | 0.0025    | 0.3416    | 0.3286    |
163     | 125      | -35.1055  | 0.0025    | 0.3416    | 0.3286    |
164     | 108      | 28.4579   | 0.0025    | 0.3417    | 0.3287    |
165     | 125      | -35.1055  | 0.0024    | 0.3418    | 0.3287    |
166     | 129      | 33.2      | 0.0024    | 0.3419    | 0.3288    |
167     | 64       | 0.2471    | 0.0024    | 0.342     | 0.3291    |
168     | 115      | -19.225   | 0.0024    | 0.342     | 0.3292    |
169     | 125      | -35.1055  | 0.0024    | 0.342     | 0.3293    |
170     | 125      | -35.1055  | 0.0024    | 0.342     | 0.3294    |
171     | 131      | 26214.6   | 0.0024    | 0.3419    | 0.3292    |
172     | 125      | -35.1055  | 0.0024    | 0.3419    | 0.3292    |
173     | 108      | 28.4579   | 0.0024    | 0.342     | 0.329     |
174     | 125      | -35.1055  | 0.0023    | 0.342     | 0.3291    |
175     | 64       | 0.2471    | 0.0023    | 0.3421    | 0.3291    |
176     | 125      | -35.1055  | 0.0023    | 0.3421    | 0.3292    |
177     | 129      | 33.2      | 0.0023    | 0.3421    | 0.3292    |
178     | 125      | -35.1055  | 0.0023    | 0.3421    | 0.3291    |
179     | 107      | 14.7495   | 0.0023    | 0.3419    | 0.329     |
180     | 125      | -35.1055  | 0.0023    | 0.3419    | 0.329     |
181     | 125      | -35.1055  | 0.0023    | 0.3419    | 0.329     |
182     | 108      | 28.4579   | 0.0022    | 0.3419    | 0.3289    |
183     | 55       | 0.0801    | 0.0022    | 0.342     | 0.329     |
184     | 125      | -35.1055  | 0.0022    | 0.342     | 0.3291    |
185     | 64       | 0.2471    | 0.0022    | 0.3422    | 0.3294    |
186     | 116      | -18.5667  | 0.0022    | 0.3421    | 0.3294    |
187     | 125      | -35.1055  | 0.0022    | 0.3421    | 0.3294    |
188     | 129      | 33.2      | 0.0022    | 0.3421    | 0.3294    |
189     | 125      | -35.1055  | 0.0022    | 0.3421    | 0.3294    |
190     | 125      | -35.1055  | 0.0022    | 0.3422    | 0.3294    |
191     | 108      | 28.4579   | 0.0021    | 0.3423    | 0.3295    |
192     | 125      | -35.1055  | 0.0021    | 0.3423    | 0.3295    |
193     | 64       | 0.2471    | 0.0021    | 0.3423    | 0.3297    |
194     | 125      | -35.1055  | 0.0021    | 0.3423    | 0.3298    |
195     | 130      | 58991.5   | 0.0021    | 0.3424    | 0.3302    |
196     | 125      | -35.1055  | 0.0021    | 0.3424    | 0.3302    |
197     | 129      | 33.2      | 0.0021    | 0.3425    | 0.3302    |
198     | 109      | 21.3044   | 0.0021    | 0.3424    | 0.3304    |
199     | 125      | -35.1055  | 0.0021    | 0.3423    | 0.3305    |
200     | 115      | -19.225   | 0.0021    | 0.3423    | 0.3306    |
201     | 125      | -35.1055  | 0.0021    | 0.3423    | 0.3306    |
202     | 2        | 1.8       | 0.0021    | 0.3422    | 0.3305    |
203     | 64       | 0.2471    | 0.002     | 0.3423    | 0.3307    |
204     | 108      | 28.4579   | 0.002     | 0.3423    | 0.3308    |
205     | 125      | -35.1055  | 0.002     | 0.3424    | 0.3308    |
