[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold2/train.txt -test Fold2/test.txt -validate Fold2/vali.txt -ranker 6 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-lm2.txt

[+] General Parameters:
Training data:  Fold2/train.txt
Test data:      Fold2/test.txt
Validation data:        Fold2/vali.txt
Feature vector representation: Dense.
Ranking method: LambdaMART
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-lm2.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [Fold2/train.txt]... [Done.]
(6000 ranked lists, 716683 entries read)
Reading feature file [Fold2/vali.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Reading feature file [Fold2/test.txt]... [Done.]
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V |
---------------------------------
150     | 0.4456    | 0.4314    |
151     | 0.4459    | 0.4317    |
152     | 0.4458    | 0.4316    |
153     | 0.4459    | 0.4317    |
154     | 0.4462    | 0.4318    |
155     | 0.4465    | 0.4318    |
156     | 0.4464    | 0.4321    |
157     | 0.4467    | 0.4323    |
158     | 0.4469    | 0.4327    |
159     | 0.4471    | 0.4324    |
160     | 0.4473    | 0.4325    |
161     | 0.4475    | 0.4327    |
162     | 0.4475    | 0.4327    |
163     | 0.4474    | 0.4328    |
164     | 0.4477    | 0.4329    |
165     | 0.4476    | 0.4328    |
166     | 0.4476    | 0.4328    |
167     | 0.4476    | 0.4334    |
168     | 0.4477    | 0.4334    |
169     | 0.4479    | 0.4334    |
170     | 0.4481    | 0.4335    |
171     | 0.4481    | 0.4336    |
172     | 0.4483    | 0.4337    |
173     | 0.4484    | 0.4337    |
174     | 0.4482    | 0.4341    |
175     | 0.4485    | 0.4341    |
176     | 0.4486    | 0.434     |
177     | 0.4487    | 0.4341    |
178     | 0.4487    | 0.4343    |
179     | 0.4488    | 0.4346    |
180     | 0.4488    | 0.4346    |
181     | 0.449     | 0.4346    |
182     | 0.4491    | 0.4347    |
183     | 0.4493    | 0.4348    |
184     | 0.4492    | 0.4348    |
185     | 0.4492    | 0.4346    |
186     | 0.4493    | 0.4344    |
187     | 0.4491    | 0.4347    |
188     | 0.4495    | 0.4344    |
189     | 0.4495    | 0.4347    |
190     | 0.4497    | 0.4349    |
191     | 0.4499    | 0.435     |
192     | 0.4499    | 0.4346    |
193     | 0.4501    | 0.435     |
194     | 0.4501    | 0.4349    |
195     | 0.45      | 0.4348    |
196     | 0.4502    | 0.4351    |
197     | 0.4503    | 0.4353    |
198     | 0.4504    | 0.4356    |
199     | 0.4506    | 0.4355    |
200     | 0.4508    | 0.4355    |
201     | 0.4508    | 0.4355    |
202     | 0.4507    | 0.4354    |
203     | 0.4509    | 0.4358    |
204     | 0.4512    | 0.4355    |
205     | 0.4514    | 0.4355    |
206     | 0.4514    | 0.4357    |
207     | 0.4515    | 0.4356    |
208     | 0.4517    | 0.4355    |
209     | 0.4517    | 0.4355    |
210     | 0.4518    | 0.4355    |
211     | 0.4518    | 0.4355    |
212     | 0.4519    | 0.4355    |
213     | 0.4518    | 0.4355    |
214     | 0.4519    | 0.4357    |
215     | 0.4518    | 0.4358    |
216     | 0.4519    | 0.4363    |
217     | 0.4519    | 0.4363    |
218     | 0.4521    | 0.4363    |
219     | 0.4524    | 0.4362    |
220     | 0.4524    | 0.4361    |
221     | 0.4525    | 0.4361    |
222     | 0.4525    | 0.4362    |
223     | 0.4528    | 0.4364    |
224     | 0.453     | 0.4363    |
225     | 0.453     | 0.4362    |
226     | 0.453     | 0.4365    |
227     | 0.4531    | 0.4365    |
228     | 0.4533    | 0.4365    |
229     | 0.4533    | 0.4364    |
230     | 0.4533    | 0.4367    |
231     | 0.4533    | 0.4366    |
232     | 0.4533    | 0.4368    |
233     | 0.4534    | 0.4367    |
234     | 0.4537    | 0.4367    |
235     | 0.4537    | 0.4364    |
236     | 0.4537    | 0.4366    |
237     | 0.4538    | 0.4367    |
238     | 0.4538    | 0.4368    |
239     | 0.4537    | 0.4368    |
240     | 0.4538    | 0.4368    |
241     | 0.4538    | 0.4368    |
242     | 0.4538    | 0.4368    |
243     | 0.4542    | 0.4367    |
244     | 0.4543    | 0.4366    |
245     | 0.4544    | 0.4368    |
246     | 0.4544    | 0.4372    |
247     | 0.4543    | 0.4373    |
248     | 0.4544    | 0.4375    |
249     | 0.4545    | 0.4377    |
250     | 0.4545    | 0.4374    |
251     | 0.4546    | 0.4378    |
252     | 0.4547    | 0.4384    |
253     | 0.4547    | 0.4384    |
254     | 0.4547    | 0.4384    |
255     | 0.455     | 0.4382    |
256     | 0.4549    | 0.4382    |
257     | 0.4551    | 0.4381    |
258     | 0.4551    | 0.4382    |
259     | 0.4552    | 0.4381    |
260     | 0.4555    | 0.4378    |
261     | 0.4555    | 0.4378    |
262     | 0.4555    | 0.4379    |
263     | 0.4556    | 0.4379    |
264     | 0.4556    | 0.4377    |
