[harshitha@csil RankLib]$ java -jar RankLib-2.1-patched.jar -train Fold1/train.txt -test Fold1/test.txt -validate Fold1/vali.txt -ranker 2 -metric2t NDCG@10 -metric2T NDCG@10 -save mymodel-rankboost.txt

[+] General Parameters:
Training data:  Fold1/train.txt
Test data:      Fold1/test.txt
Validation data:        Fold1/vali.txt
Feature vector representation: Dense.
Ranking method: RankBoost
Feature description file:       Unspecified. All features will be used.
Train metric:   NDCG@10
Test metric:    NDCG@10
Feature normalization: No
Model file: mymodel-rankboost.txt

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [Fold1/train.txt]... [Done.]
(6000 ranked lists, 723412 entries read)
Reading feature file [Fold1/vali.txt]... [Done.]
(2000 ranked lists, 235259 entries read)
Reading feature file [Fold1/test.txt]... [Done.]
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V |
--------------------------------------------------------------------
76      | 129      | 17.8      | 0.0047    | 0.3382    | 0.3331    |
77      | 60       | 0.0801    | 0.0046    | 0.3379    | 0.3333    |
78      | 105      | 0.8       | 0.0046    | 0.3376    | 0.3334    |
79      | 130      | 6643.4    | 0.0046    | 0.3382    | 0.3342    |
80      | 108      | 25.3757   | 0.0045    | 0.3382    | 0.3341    |
81      | 115      | -32.0689  | 0.0044    | 0.3383    | 0.3343    |
82      | 115      | -32.0689  | 0.0044    | 0.3384    | 0.3342    |
83      | 115      | -32.0689  | 0.0043    | 0.3384    | 0.3343    |
84      | 48       | 0.6       | 0.0043    | 0.3381    | 0.3348    |
85      | 115      | -32.0689  | 0.0043    | 0.3382    | 0.3349    |
86      | 115      | -32.0689  | 0.0042    | 0.3383    | 0.335     |
87      | 115      | -16.0345  | 0.0042    | 0.3383    | 0.3348    |
88      | 115      | -32.0689  | 0.0042    | 0.3384    | 0.3349    |
89      | 115      | -32.0689  | 0.0041    | 0.3385    | 0.335     |
90      | 129      | 17.8      | 0.0041    | 0.3386    | 0.3349    |
91      | 132      | 26.3      | 0.0041    | 0.3379    | 0.3348    |
92      | 115      | -32.0689  | 0.0041    | 0.3379    | 0.3348    |
93      | 2        | 1.4       | 0.004     | 0.3379    | 0.335     |
94      | 115      | -32.0689  | 0.004     | 0.338     | 0.335     |
95      | 115      | -32.0689  | 0.004     | 0.338     | 0.3351    |
96      | 108      | 25.3757   | 0.0039    | 0.3381    | 0.3351    |
97      | 115      | -32.0689  | 0.0039    | 0.3382    | 0.3352    |
98      | 115      | -32.0689  | 0.0039    | 0.3383    | 0.3351    |
99      | 130      | 58990.6   | 0.0039    | 0.3386    | 0.3355    |
100     | 115      | -32.0689  | 0.0038    | 0.3386    | 0.3355    |
101     | 125      | -32.6877  | 0.0038    | 0.3386    | 0.3355    |
102     | 123      | -16.8443  | 0.0038    | 0.3386    | 0.3355    |
103     | 115      | -32.0689  | 0.0037    | 0.3386    | 0.3357    |
104     | 115      | -32.0689  | 0.0037    | 0.3387    | 0.3357    |
105     | 115      | -32.0689  | 0.0036    | 0.3387    | 0.3357    |
106     | 107      | 13.0152   | 0.0036    | 0.3384    | 0.3356    |
107     | 125      | -32.6877  | 0.0036    | 0.3385    | 0.3356    |
108     | 115      | -32.0689  | 0.0036    | 0.3385    | 0.3356    |
109     | 108      | 25.3757   | 0.0035    | 0.3388    | 0.3353    |
110     | 129      | 35.6      | 0.0035    | 0.3386    | 0.3356    |
111     | 115      | -32.0689  | 0.0035    | 0.3386    | 0.3355    |
112     | 115      | -16.0345  | 0.0035    | 0.3386    | 0.3355    |
113     | 115      | -32.0689  | 0.0035    | 0.3386    | 0.3356    |
114     | 125      | -32.6877  | 0.0034    | 0.3386    | 0.3356    |
115     | 115      | -32.0689  | 0.0034    | 0.3386    | 0.3356    |
116     | 129      | 35.6      | 0.0034    | 0.3388    | 0.3356    |
117     | 115      | -32.0689  | 0.0034    | 0.3388    | 0.3356    |
118     | 60       | 0.0801    | 0.0033    | 0.3387    | 0.3355    |
119     | 125      | -32.6877  | 0.0033    | 0.3387    | 0.3355    |
120     | 129      | 17.8      | 0.0033    | 0.3387    | 0.3352    |
121     | 113      | -29.3383  | 0.0033    | 0.3387    | 0.3353    |
122     | 115      | -32.0689  | 0.0033    | 0.3388    | 0.3353    |
123     | 109      | 14.4397   | 0.0032    | 0.3386    | 0.3354    |
124     | 115      | -32.0689  | 0.0032    | 0.3386    | 0.3354    |
125     | 115      | -32.0689  | 0.0032    | 0.3387    | 0.3354    |
126     | 110      | 44.6966   | 0.0032    | 0.3386    | 0.3355    |
127     | 130      | 58990.6   | 0.0032    | 0.3389    | 0.336     |
128     | 108      | 25.3757   | 0.0032    | 0.339     | 0.336     |
129     | 125      | -32.6877  | 0.0031    | 0.339     | 0.3359    |
130     | 129      | 35.6      | 0.0031    | 0.3392    | 0.3359    |
131     | 113      | -29.3383  | 0.0031    | 0.3392    | 0.336     |
132     | 2        | 1.4       | 0.0031    | 0.3392    | 0.3359    |
133     | 110      | 44.6966   | 0.0031    | 0.3391    | 0.336     |
134     | 115      | -32.0689  | 0.0031    | 0.3391    | 0.336     |
135     | 115      | -32.0689  | 0.003     | 0.3391    | 0.336     |
136     | 110      | 44.6966   | 0.003     | 0.3391    | 0.3361    |
137     | 113      | -29.3383  | 0.003     | 0.3391    | 0.3362    |
138     | 131      | 52428.2   | 0.003     | 0.3385    | 0.3365    |
139     | 132      | 26.3      | 0.0031    | 0.338     | 0.3361    |
140     | 125      | -32.6877  | 0.003     | 0.338     | 0.3362    |
141     | 130      | 6643.4    | 0.003     | 0.3381    | 0.3362    |
142     | 113      | -14.6692  | 0.003     | 0.3382    | 0.3363    |
143     | 115      | -32.0689  | 0.003     | 0.3382    | 0.3363    |
